2017-03-22 12:55:32,742 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2017-03-22 12:55:32,751 [      9]   INFO -        #com.intellij.idea.Main - IDE: PyCharm Community Edition (build #PC-163.15188.4, 10 Mar 2017 18:27) 
2017-03-22 12:55:32,751 [      9]   INFO -        #com.intellij.idea.Main - OS: Linux (4.4.0-66-generic, amd64) 
2017-03-22 12:55:32,751 [      9]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_112-release-408-b6 (JetBrains s.r.o) 
2017-03-22 12:55:32,751 [      9]   INFO -        #com.intellij.idea.Main - JVM: 25.112-b6 (OpenJDK 64-Bit Server VM) 
2017-03-22 12:55:32,753 [     11]   INFO -        #com.intellij.idea.Main - JVM Args: -Xbootclasspath/a:./lib/boot.jar -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/alex/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/alex/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharmCE2016.3 -Djb.vmOptionsFile=bin/pycharm64.vmoptions -Didea.platform.prefix=PyCharmCore 
2017-03-22 12:55:32,754 [     12]   INFO -        #com.intellij.idea.Main - ext: /home/alex/pycharm-community-2016.3.3/jre/jre/lib/ext: [jaccess.jar, sunpkcs11.jar, jfxrt.jar, zipfs.jar, meta-index, nashorn.jar, localedata.jar, dnsns.jar, sunec.jar, sunjce_provider.jar, cldrdata.jar] 
2017-03-22 12:55:32,754 [     12]   INFO -        #com.intellij.idea.Main - JNU charset: UTF-8 
2017-03-22 12:55:32,770 [     28]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 16 ms 
2017-03-22 12:55:36,716 [   3974]   INFO - .intellij.idea.IdeaApplication - WM detected: Compiz 
2017-03-22 12:55:37,190 [   4448]   INFO - llij.ide.plugins.PluginManager - 16 plugins initialized in 453 ms 
2017-03-22 12:55:37,191 [   4449]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: CVS Integration (11), EditorConfig (163.15188.4), Git Integration (8.1), GitHub (163.15188.4), IDEA CORE (163.15188.4), IPython Notebook (0.1), IntelliLang (8.0), Python IntelliLang (VERSION), Python ReStructureText Integration (1.0), Python Terminal (VERSION), ReStructuredText Support (136.SNAPSHOT), Settings Repository (163.15188.4), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), hg4idea (10.0) 
2017-03-22 12:55:37,861 [   5119]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/alex/.PyCharmCE2016.3/system/caches/names.dat' does not exist 
2017-03-22 12:55:37,863 [   5121]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=705 
2017-03-22 12:55:37,890 [   5148]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /home/alex/pycharm-community-2016.3.3/bin/fsnotifier64 
2017-03-22 12:55:37,901 [   5159]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2017-03-22 12:55:38,222 [   5480]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2017-03-22 12:55:38,222 [   5480]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2017-03-22 12:55:38,725 [   5983]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2017-03-22 12:55:38,759 [   6017]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2017-03-22 12:55:38,886 [   6144]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:59 
2017-03-22 12:55:38,890 [   6148]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:3 
